CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;100.00;50.00;50.00;2;1;1;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y sociedad contemporánea;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de dibujo;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de pintura;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de escultura;Normal;Optativa;100.00;85.71;85.71;14;13;13;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado I;Normal;Optativa;100.00;90.91;90.91;16;14;15;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado II;Normal;Optativa;100.00;66.67;66.67;5;4;4;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico I;Normal;Optativa;100.00;100.00;100.00;18;18;18;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico II;Normal;Optativa;96.00;96.00;100.00;28;27;28;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de fotografía e imagen digital;Normal;Optativa;100.00;95.00;95.00;22;21;21;1.05;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de ilustración;Normal;Optativa;96.88;96.88;100.00;34;33;34;1.03;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Instalaciones;Normal;Optativa;100.00;100.00;100.00;11;11;11;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte, entorno y espacio público;Normal;Optativa;100.00;100.00;100.00;13;13;13;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte de acción;Normal;Optativa;100.00;100.00;100.00;17;16;17;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Tratamiento digital de la imagen;Normal;Optativa;92.59;92.59;100.00;28;26;28;1.12;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Animación en 2 y 3D;Normal;Optativa;100.00;100.00;100.00;24;24;24;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño web;Normal;Optativa;100.00;100.00;100.00;16;16;16;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Recursos intermedia;Normal;Optativa;100.00;100.00;100.00;13;13;13;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de videoarte;Normal;Optativa;100.00;100.00;100.00;21;21;21;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de la fotografía, cine y otros medios audiovisuales;Normal;Optativa;100.00;100.00;100.00;18;18;18;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Industria cultural. Legislación, difusión y mercado artístico;Normal;Optativa;;;;1;1;1;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño y gestión del espacio expositivo;Normal;Optativa;100.00;93.33;93.33;18;17;17;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Prácticas externas;Prácticas externas;Optativa;100.00;94.44;94.44;18;17;17;1.00;25/09/2022
2021;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología del arte;Normal;Optativa;100.00;92.59;92.59;27;25;25;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases químicas del medio ambiente;Normal;Formación básica;60.00;45.00;75.00;60;27;45;1.67;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biología;Normal;Formación básica;40.00;29.63;74.07;82;25;61;2.20;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos de geología para el estudio del medio ambiente;Normal;Formación básica;87.18;79.07;90.70;43;34;39;1.32;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos matemáticos para el estudio del medio ambiente;Normal;Formación básica;65.45;43.37;66.27;83;36;55;1.97;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Economía aplicada;Normal;Formación básica;100.00;89.29;89.29;28;25;25;1.08;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Administración y legislación ambiental;Normal;Formación básica;88.57;70.45;79.55;44;31;35;1.34;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases físicas del medio ambiente;Normal;Formación básica;71.43;49.30;69.01;71;35;49;1.86;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Edafología;Normal;Formación básica;62.50;52.63;84.21;57;30;48;2.07;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Estadística;Normal;Formación básica;91.30;91.30;100.00;23;21;23;1.05;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases de la ingeniería ambiental;Normal;Obligatoria;65.00;50.98;78.43;57;32;46;1.66;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecología I;Normal;Obligatoria;92.86;92.86;100.00;28;26;28;1.11;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Meteorología y climatología;Normal;Obligatoria;86.11;79.49;92.31;39;31;36;1.52;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecología II;Normal;Obligatoria;96.00;92.31;96.15;26;24;25;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Degradación y contaminación de suelos;Normal;Obligatoria;91.89;85.00;92.50;40;34;37;2.21;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación atmosférica;Normal;Obligatoria;90.32;75.68;83.78;37;28;31;1.86;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Riesgos naturales;Normal;Obligatoria;100.00;91.30;91.30;26;24;24;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Educación ambiental;Normal;Optativa;100.00;83.33;83.33;6;5;5;1.17;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Tecnologías limpias. Energías renovables;Normal;Obligatoria;65.52;47.50;72.50;46;24;34;2.17;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Actividad agrosilvopastoral y medio ambiente;Normal;Obligatoria;72.73;68.57;94.29;39;28;37;1.93;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación de aguas;Normal;Obligatoria;89.29;89.29;100.00;29;26;29;1.31;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Gestión y conservación de flora y fauna;Normal;Obligatoria;70.00;65.63;93.75;33;22;31;1.33;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Gestión, tratamiento y recuperación de residuos;Normal;Obligatoria;73.81;67.39;91.30;52;37;48;2.32;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ordenación del territorio y urbanismo;Normal;Obligatoria;89.29;86.21;96.55;32;28;31;1.64;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Evaluación de impacto ambiental;Normal;Obligatoria;80.00;76.19;95.24;29;24;28;1.17;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;100.00;100.00;8;8;8;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Contaminación radiactiva, acústica y por vibraciones;Normal;Optativa;;;;1;0;0;;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Tecnología analítica en la detección de contaminantes;Normal;Optativa;100.00;100.00;100.00;6;6;6;1.43;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biotecnología y conservación de recursos;Normal;Optativa;;;;0;0;0;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Evaluación de suelos;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Actividades clasificadas;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Medio ambiente y sostenibilidad;Normal;Obligatoria;90.00;85.71;95.24;42;36;40;1.27;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Botánica;Normal;Formación básica;63.41;50.98;80.39;51;26;41;1.68;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Zoología;Normal;Formación básica;88.37;84.44;95.56;45;38;43;1.55;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Sociedad y territorio;Normal;Obligatoria;87.10;87.10;100.00;31;27;31;1.96;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Cartografía y sistemas de información geográfica;Normal;Obligatoria;100.00;73.91;73.91;23;17;17;1.29;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Análisis Químico en el medio ambiente;Normal;Obligatoria;69.23;58.70;84.78;46;27;39;2.14;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Toxicología y salud pública;Normal;Obligatoria;96.15;92.59;96.30;29;27;28;1.26;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Sistemas de gestión y Auditorías ambientales;Normal;Obligatoria;91.30;84.00;92.00;28;24;26;1.12;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Áreas Protegidas;Normal;Obligatoria;47.06;44.44;94.44;25;15;24;1.33;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Proyectos ambientales;Normal;Obligatoria;100.00;100.00;100.00;22;22;22;1.18;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Acreditación y normas de calidad en laboratorios ambientales;Normal;Optativa;;;;0;0;0;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Hidrología ambiental;Normal;Optativa;100.00;100.00;100.00;3;3;3;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Química sostenible y medioambiental;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Prácticas externas;Prácticas externas;Optativa;100.00;100.00;100.00;19;19;19;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Teledetección ambiental;Normal;Optativa;100.00;100.00;100.00;8;8;8;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Restauración de ecosistemas;Normal;Optativa;90.91;90.91;100.00;11;10;11;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biogeografía y geobotánica;Normal;Optativa;100.00;100.00;100.00;2;2;2;1.00;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Ecosistemas acuáticos;Normal;Optativa;84.62;84.62;100.00;13;11;13;1.18;25/09/2022
2021;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Inglés para las ciencias ambientales;Normal;Optativa;100.00;77.78;77.78;9;7;7;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Lengua española;Normal;Formación básica;85.71;84.38;98.44;64;54;63;1.62;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Documentación informativa;Normal;Obligatoria;94.92;93.33;98.33;60;56;59;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Sociología del mundo actual;Normal;Formación básica;100.00;96.61;96.61;59;57;57;1.13;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Derecho y deontología de la información (parte I): Derecho;Normal;Obligatoria;98.33;95.16;96.77;62;59;60;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros y redacción periodística I;Normal;Obligatoria;100.00;100.00;100.00;59;59;59;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Historia del mundo actual;Normal;Formación básica;100.00;98.28;98.28;58;57;57;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Instituciones políticas y administrativas contemporáneas;Normal;Formación básica;100.00;91.23;91.23;57;52;52;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Relaciones internacionales;Normal;Formación básica;94.83;91.67;96.67;60;55;58;1.19;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Derecho y deontología de la información (Parte 2): Deontología;Normal;Obligatoria;100.00;96.72;96.72;61;59;59;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros y redacción periodística II;Normal;Obligatoria;98.36;92.31;93.85;65;60;61;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Fundamentos de economía;Normal;Formación básica;88.33;84.13;95.24;64;54;61;1.40;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Estructura de la comunicación;Normal;Formación básica;94.23;94.23;100.00;53;50;53;1.20;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros informativos en radio;Normal;Obligatoria;96.23;92.73;96.36;55;51;53;1.04;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Producción de informativos en radio;Normal;Obligatoria;98.11;96.30;98.15;54;52;53;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: Corrientes artísticas contemporáneas;Normal;Obligatoria;100.00;100.00;100.00;1;1;1;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: corrientes literarias contemporáneas;Normal;Obligatoria;93.75;88.24;94.12;17;15;16;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: Historia del cine y otros medios audiovisuales;Normal;Obligatoria;90.91;83.33;91.67;12;10;11;1.10;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Bases culturales de la comunicación: Geografía y medio-ambiente;Normal;Obligatoria;100.00;100.00;100.00;24;24;24;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Pragmática y teoría de la argumentación;Normal;Formación básica;96.08;96.08;100.00;51;49;51;1.09;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;La empresa de comunicación;Normal;Formación básica;98.08;94.44;96.30;54;51;52;1.28;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Géneros informativos en TV;Normal;Obligatoria;100.00;98.21;98.21;56;55;55;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Producción de informativos en TV;Normal;Obligatoria;94.44;91.07;96.43;56;51;54;1.06;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Técnicas de expresión oral y escrita (parte 1): Expresión oral;Normal;Obligatoria;100.00;95.24;95.24;51;49;49;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Narrativa audiovisual: reportaje y documental;Normal;Obligatoria;100.00;93.75;93.75;53;49;50;1.04;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Realización audiovisual: reportaje y documental;Normal;Obligatoria;95.83;92.00;96.00;56;51;54;1.17;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyecto de comunicación audiovisual;Normal;Obligatoria;97.87;93.88;95.92;54;51;52;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Técnicas de expresión oral y escrita (Parte 2): Expresión escrita;Normal;Obligatoria;100.00;98.00;98.00;55;52;53;1.11;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Teoría de la información y de la comunicación;Normal;Obligatoria;100.00;100.00;100.00;50;49;49;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Diseño y edición de publicaciones impresas;Normal;Obligatoria;100.00;100.00;100.00;46;45;46;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyecto de comunicación en prensa;Normal;Obligatoria;97.37;92.50;95.00;48;44;46;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Historia del periodismo;Normal;Obligatoria;97.22;92.11;94.74;50;47;48;1.06;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Comunicación e información digital;Normal;Obligatoria;100.00;100.00;100.00;50;48;48;1.04;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyecto de comunicación digital;Normal;Obligatoria;100.00;97.62;97.62;51;49;49;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Elementos de publicidad y relaciones públicas;Normal;Obligatoria;97.96;97.96;100.00;55;54;55;1.02;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Opinión pública;Normal;Obligatoria;100.00;100.00;100.00;53;53;53;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyectos de comunicación especializada: Magazine radiofónico;Normal;Obligatoria;100.00;92.31;92.31;13;12;12;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyectos de comunicación especializada: Comunicación corporativa;Normal;Obligatoria;100.00;100.00;100.00;4;4;4;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyectos de comunicación especializada: Suplemento/revista especializada;Normal;Obligatoria;100.00;100.00;100.00;35;35;35;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Proyectos de comunicación especializada: Documental audiovisual (formato largo);Normal;Obligatoria;100.00;100.00;100.00;3;3;3;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Comunicación e identidad corporativa;Normal;Optativa;100.00;100.00;100.00;8;8;8;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Periodismo económico;Normal;Optativa;100.00;100.00;100.00;1;1;1;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Periodismo deportivo;Normal;Optativa;100.00;100.00;100.00;14;14;14;1.00;25/09/2022
2021;Grado;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Comunicación política y electoral;Normal;Optativa;100.00;100.00;100.00;20;20;20;1.00;25/09/2022
